datalist,proxylist
cg_fruitorchard_polandandczechrep,apple+ apricot+ avocado+ berrynes+ blueberry+ carob+ cashewapple+ cherry+ citrusnes+ currant+ date+ fig+ fruitnes+ gooseberry+ grapefruitetc+ lemonlime+ orange+ peachetc+ pear+ persimmon+ pineapple+ plantain+ plum+ rasberry+ sourcherry+ stonefruitnes+ tangetc+ almond+ cashew+ chestnut+ hazelnut+ nutnes+ pistachio+ walnut
cg_fruitother_korea,apple+ apricot+ avocado+ banana+ berrynes+ blueberry+ carob+ cashewapple+ cherry+ citrusnes+ cranberry+ currant+ date+ fig+ fruitnes+ tropicalnes+ gooseberry+ grapefruitetc+ grape+ kiwi+ lemonlime+ mango+ papaya+ peachetc+ pear+ persimmon+ pineapple+ plantain+ plum+ quince+ rasberry+ sourcherry+ stonefruitnes+ strawberry+ tangetc+ watermelon
cg_juteandjutelikefiber,jute+ jutelikefiber
cg_oilcrops,castor+ coconut+ groundnut+ hempseed+ karite+ linseed+ melonseed+ mustard+ oilpalm+ oilseednes+ olive+ poppy+ rapeseed+ safflower+ sesame+ soybean+ sunflower+ tung+ areca+ kolanut+ almond+ brazil+ cashew+ chestnut+ hazelnut+ nutnes+ pistachio+ walnut
cg_oilcropsother_morocco,castor+ coconut+ groundnut+ hempseed+ karite+ linseed+ melonseed+ mustard+ oilpalm+ oilseednes+ olive+ poppy+ rapeseed+ safflower+ sesame+ soybean+  tung
cg_othercrops_israel,cabbage+ cauliflower+ chilietc+ clover+ cucumberetc+ fruitnes+ grapefruitetc+ greenpea+ lemonlime+ lentil+ melonetc+ oats+ oilseednes+ onion+ orange+ plum+ poppy+ pumpkinetc+ sunflower+ tangetc+ tobacco+ tomato+ watermelon
cg_othercrops_srilanka,bean+ cabbage+ carrot+ cassava+ chilietc+ cocoa+ coffee+ cowpea+ cucumberetc+ eggplant+ fruitnes+ greenbean+ groundnut+ lemonlime+ maize+ mango+ millet+ onion+ orange+ pepper+ pineapple+ plantain+ potato+ pumpkinetc+ sesame+ sugarcane+ sweetpotato+ tomato
cg_pastureandfodder,past2000+ alfalfa+ beetfor+ cabbagefor+ clove+ fornes+ grassnes+ oilseedfor+ legumenes+ maizefor+ mixedgrass+ ryefor+ sorghumfor+ swedefor+ turnipfor+ vegfor
cg_pepperandchili,pepper+ chilietc
cg_perennialgrass,mixedgrass+ grassnes
cg_pulses,bambara+ bean+ broadbean+ chickpea+ cowpea+ lentil+ lupin+ pea+ pigeonpea+ pulsenes
cg_pulses_nonbean,bambara+ chickpea+ cowpea+ lentil+ lupin+ pea+ pigeonpea+ pulsenes
cg_pulses_nonfodderpoland,bambara+ bean+ broadbean+ chickpea+ cowpea+ lentil+ lupin+ pea+ pigeonpea
cg_pulses_peasandbeans,bean+ broadbean+ chickpea+ cowpea+ pea+ pigeonpea
cg_pulsesother_mexico,bambara+ cowpea+ lentil+ lupin+ pea+ pigeonpea+ pulsenes
cg_rapeseedandmustard,rapeseed+ mustard
cg_rootsandtubers,cassava+ potato+ rootnes+ sweetpotato+ taro+ yam+ yautia
cg_rootsandtubers_nonpotato,cassava+ rootnes+ sweetpotato+ taro+ yam+ yautia
cg_rootsandtubersother_japan,cassava+ rootnes+ taro+ yautia
cg_ryeandoats,rye+ oats
cg_ryeandoatsandrice,rye+ oats+ rice
cg_vegetables,artichoke+ asparagus+ greenbean+ greenbroadbean+ cabbage+ melonetc+ carrot+ cauliflower+ chilietc+ cucumberetc+ eggplant+ garlic+ greencorn+ lettuce+ mushroom+ okra+ greenonion+ onion+ greenpea+ pumpkinetc+ spinach+ stringbean+ tomato+ vegetablenes
cg_vegetables_leafy,lettuce+ cabbage+ spinach
cg_vegetables_notomato,artichoke+ asparagus+ greenbean+ greenbroadbean+ cabbage+ melonetc+ carrot+ cauliflower+ chilietc+ cucumberetc+ eggplant+ garlic+ greencorn+ lettuce+ mushroom+ okra+ greenonion+ onion+ greenpea+ pumpkinetc+ spinach+ stringbean+ vegetablenes
cg_vegetablesother_korea, artichoke+ asparagus+ greenbean+ greenbroadbean+ melonetc+ carrot+ cauliflower+ chilietc+ cucumberetc+ eggplant+ greencorn+ lettuce+ mushroom+ okra+ greenonion+ onion+ greenpea+ pumpkinetc+ spinach+ stringbean+ tomato+ vegetablenes
cg_vegetablesother_mexico, artichoke+ asparagus+ greenbean+ greenbroadbean+ cabbage+ melonetc+ carrot+ cauliflower+ chilietc+ cucumberetc+ eggplant+ garlic+ greencorn+ lettuce+ mushroom+ okra+ greenpea+ pumpkinetc+ spinach+ stringbean+ vegetablenes
cherry,cherry
chickpea,chickpea
clover,clover
cocoa,cocoa
coconut,coconut
coffee,coffee
cotton,cotton
cowpea,cowpea
cranberry,cranberry
cucumber,cucumberetc
date,date
eggplant,eggplant
fig,fig
flax,flax
fodder_pulses,legumenes
garlic,garlic
grape,grape
grapefruitetc,grapefruitetc
grass_seed,grassnes
greenbean,greenbean
greencorn,greencorn
greenpea,greenpea
groundnut,groundnut
hazelnut,hazelnut
hop,hop
horticulture,crop_2000
jute,jute
kiwi,kiwi
leguminousgrasses,mixedgrass
lemonlime,lemonlime
lentil,lentil
lettuce,lettuce
linseed,linseed
maize,maize
maizefor,maizefor
mango,mango
meadowsforhay,grassnes+ mixedgrass
melon,melonetc
millet,millet
mixed_grain,mixedgrain
mustard,mustard
oats,oats
oilpalm,oilpalm
olive,olive
onion,onion
cg_onionandshallot,onion+ greenonion
orange,orange
other,crop_2000
cg_other_srilanka,bean+ cabbage+ carrot+ cassava+ chilietc+ cocoa+ coffee+ cowpea+ cucumberetc+ eggplant+ fruitnes+ greenbean+ groundnut+ lemonlime+ maize+ mango+ millet+ onion+ orange+ pepper+ pineapple+ plantain+ potato+ pumpkinetc+ sesame+ sugarcane+ sweetpotato+ tomato
pasture,past2000
pea,pea
peach,peachetc
pear,pear
pepper_black,pepper
pepper_bellandchili,chilietc
pineapple,pineapple
pistachio,pistachio
plantain,plantain
plum,plum
poppy,poppy
potato,potato
pumpkinetc,pumpkinetc
radish,vegetablenes
rapeseed,rapeseed
raspberry,rasberry
rice,rice
rubber,rubber
rusk,spicenes
rye,rye
safflower,safflower
sesame,sesame
setasideandindustrialcrops,crop_2000
sisal,sisal
sorghum,sorghum
soybean,soybean
spinach,spinach
strawberry,strawberry
sugarbeet,sugarbeet
sugarcane,sugarcane
sunflower,sunflower
sweetpotato,sweetpotato
tangerine,tangetc
taro,taro
tea,tea
teff,cerealnes
tobacco,tobacco
tomato,tomato
triticale,triticale
watermelon,watermelon
wheat,wheat
wheat_spring,wheat
wheat_summer,wheat
wheat_winter,wheat
yam,yam
